from,to,relationship,start_relationship,end_relationship,function
1,2,1,1931,,
1,3,2,1925,,
8,9,1,1933,,
16,17,1,1943,,
1,6,1,1952,,
1,31,,,,2
2,31,,,,2
9,32,,,,2
4,33,,,,1
6,33,,,,1
1,33,,,,1
3,33,,,,1
7,33,,,,1
23,33,,,,1
12,33,,,,1
20,34,,,,4
21,35,,,,5
24,36,,,,
1,37,,,,6
1,38,,,,7
7,40,,,,2
30,39,,,,2
1,39,,,,6
7,39,,,,2
16,39,,,,2
17,39,,,,2
3,4,2,1944,1946,
12,31,,,,3
1,36,,1945,,
6,36,,1945,,
3,36,,1945,,
4,36,,1945,,
12,36,,1945,,
10,36,,1945,,
2,36,,1945,,
2,1,1,1931,,
3,1,2,1925,,
9,8,1,1933,,
17,16,1,1943,,
6,1,1,1952,,
4,3,2,1944,1946,
6,5,3,1945,,
28,18,3,1944,,
28,12,3,1943,,
28,15,3,1943,,
1,3,3,1942,,
31,41,,,,10
31,42,,,,10
31,43,,,,10
31,44,,,,10
12,27,3,1942,,
45,46,,,,10
1,45,,,,6
2,45,,,,6
22,45,,,,6
51,52,,1942,,10
1,51,,1942,,2
2,51,,1942,,2
51,30,,1943,,10
53,28,,1943,,10
54,13,,1944,,10
1,54,,1944,,2
55,56,,1944,,10
7,55,,1944,,2
1,57,,,,
3,57,,,,
6,57,,,,
25,26,2,1926,,
58,59,,,,3
59,28,,,,10
61,60,,1945,,10
18,60,,,,1
18,60,,,,2
1,62,,1938,,6
1,62,,1938,,1
1,63,,1939,,6
1,64,,1935,,7
1,65,,1935,,7
7,66,,1942,,2
8,66,,1942,,2
9,66,,1942,,2
16,66,,1942,,2
17,66,,1942,,2
6,25,,1945,,11
6,26,,1945,,11
25,36,,1945,,
26,36,,1945,,
13,36,,1945,,
6,20,3,1942,,
34,66,,1945,,10
67,23,,1945,,10
67,25,,1945,,10
67,26,,1945,,10
1,67,,1945,,3
3,67,,1945,,3
6,67,,1945,,3
10,67,,1945,,3
4,67,,1945,,3
6,69,,1945,,
3,69,,1945,,
1,69,,1945,,
12,69,,1945,,
10,70,,1945,,
71,25,,1945,,10
71,26,,1945,,10
15,71,,1945,,2
1,71,,1945,,2
3,71,,1945,,2
12,71,,1945,,3
1,73,,1940,,6
76,62,,1938,,10
77,63,,1939,,10
7,52,,1942,,2
8,52,,1942,,2
9,52,,1942,,2
16,52,,1942,,2
17,52,,1942,,2
52,30,2,,,
30,52,2,,,
75,64,,1935,,10
75,65,,1935,,10
1,75,,1935,,7
74,73,,1940,,10
1,74,,1940,,6
1,77,,1939,,6
1,76,,1938,,6
2,76,,1938,,6
